id,prompt_id,issue,party
lubakzt,1,COL,
lubfjis,2,COL,
lubidsm,3,COL,
lubj5fd,4,COL,
lubajlk,5,COL,
lublfgl,6,COL,
lubb6wt,7,COL,
luc5jz3,8,COL,
lubcb6k,9,COL,
lubbzmf,10,COL,
lubh9uo,11,COL,
lubds9f,12,COL,
luc5r3d,13,COL,
lubc426,14,COL,
luc5yn0,15,COL,
luba8l5,16,COL,
lubukiw,17,COL,
lubyimt,18,COL,LNP
luecizh,19,COL,
luecbbc,20,COL,
luefj47,21,COL,
lub2tx5,22,COL,
luf6z4k,23,COL,
luff34k,24,COL,ALP
luevqcz,25,COL,
lubag3x,26,COL,
lub474j,27,COL,
lub40s8,28,COL,
luc6rdw,29,COL,
lub56ya,30,COL,
lub4kw1,31,COL,
luekx27,32,COL,
lubg96r,33,COL,
lubok0n,34,COL,
lub52ki,35,COL,
luentwn,36,COL,
lub5h3m,37,COL,
luazis3,38,YC,LNP
lubaua5,39,YC,
lub61v9,40,YC,ALP
luba6l4,41,H,LNP
lub8k8p,42,YC,
lub57il,43,H,LNP
lubcbnv,44,YC,
lub0mwg,45,YC,
lub6abd,46,YC,
lubk700,47,YC,
lubgfey,48,YC,
luaw1od,49,YC,
lufb7vt,50,YC,LNP
lubeqpo,51,YC,
lub917b,52,YC,
lub6zmz,53,YC,
lubndp0,54,YC,
lubvspa,55,YC,
lub04db,56,YC,
lub4l5d,57,YC,ALP
lubmmkn,58,YC,ALP
lub8uuf,59,YC,
lubroac,60,YC,
lubnojf,61,YC,
lubkdxt,62,YC,
lub70ge,63,YC,
lubqczi,64,YC,
lub1s1f,65,YC,
lubd9y4,66,YC,ALP
lub8swf,67,YC,
luba5rf,68,YC,ALP
lub5gux,69,YC,ALP
lub8mxz,70,YC,ALP
lubnc7j,71,YC,
lubps76,72,YC,
lubwolk,73,YC,
lubw8x2,74,YC,LNP
lubc8mp,75,YC,
lubck4z,76,YC,
lubrd92,77,YC,ALP
lubqgsu,78,YC,
lub0kcl,79,AL,LNP
lub20qr,80,YC,
lub2aqm,81,YC,
lubvcnu,82,YC,LNP
lubdu62,83,YC,
luerhdo,84,YC,
lub1eq3,85,YC,
lubbwmf,86,AL,LNP
lub2qm4,87,YC,
lucr8d2,88,YC,
luc2hbn,89,YC,LNP
lub9cz8,90,YC,ALP
lub5wja,91,YC,ALP
lufe828,1,,ALP
lubbfx2,18,EI,ALP
lub6ghx,19,EI,ALP
lub4ag2,20,EI,
lubka3k,21,EI,
lubnh08,22,EI,
lub6b3c,23,EI,
lubalfc,24,EI,
lub6yfj,25,EI,
lub69fr,26,EI,
lub7hf0,27,EI,
lub7npr,28,EI,ALP
